Frame 0
Iteration 139: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 140: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 141: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 142: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 143: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 144: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 145: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 146: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 147: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 148: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 149: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 150: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 151: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 152: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 153: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 154: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 155: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 156: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 157: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 158: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 159: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 160: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 161: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 162: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 163: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 164: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 165: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 166: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 167: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 168: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 169: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 170: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 171: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 172: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 173: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 174: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 175: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 176: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 177: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 178: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 179: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 180: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 181: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 182: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 183: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 184: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 185: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 186: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 187: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 188: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 189: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 190: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 191: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 192: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 193: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 194: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 195: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 196: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 197: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 198: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 199: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 200: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 201: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 202: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 203: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 204: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 205: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 206: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 207: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 208: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 209: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 210: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 211: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 212: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 213: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 214: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 215: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 216: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 217: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 218: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 219: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 220: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 221: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 222: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 223: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 224: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 225: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 226: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 227: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 228: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 229: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 230: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 231: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 232: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 233: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 234: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 235: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 236: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 237: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 238: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 239: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 240: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 241: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 242: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 243: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 244: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 245: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 246: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 247: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 248: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 249: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 250: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 251: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 252: Reprojection Error: 0.1824, Photometric Error: 0.2041
