Frame 0
Iteration 94: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 95: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 96: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 97: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 98: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 99: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 100: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 101: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 102: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 103: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 104: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 105: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 106: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 107: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 108: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 109: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 110: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 111: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 112: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 113: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 114: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 115: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 116: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 117: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 118: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 119: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 120: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 121: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 122: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 123: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 124: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 125: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 126: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 127: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 128: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 129: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 130: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 131: Reprojection Error: 0.0770, Photometric Error: 0.0673
